player_name,total_runs
"GD McGrath",0
"I Sharma",0
"IK Pathan",0
"SK Warne",0
"ST Jayasuriya",0
"SR Watson",0
"M Ntini",0
"IK Pathan",0
"P Kumar",0
"DJ Bravo",0
"SM Pollock",0
"DJ Bravo",0
"RR Raje",0
"MM Patel",0
"Umar Gul",0
"RA Jadeja",0
"MS Gony",0
"A Kumble",0
"A Kumble",0
"FH Edwards",0
"M Muralitharan",0
"SL Malinga",0
"YA Abdulla",0
"RP Singh",0
"P Kumar",0
"D du Preez",0
"SL Malinga",0
"JA Morkel",0
"A Mishra",0
"IK Pathan",0
"PJ Sangwan",0
"JH Kallis",0
"B Lee",0
"A Nehra",0
"RJ Harris",0
"WPUJC Vaas",0
"JA Morkel",0
"L Balaji",0
"Harbhajan Singh",0
"SW Tait",0
"SL Malinga",0
"SB Jakati",0
"Pankaj Singh",0
"SE Bond",0
"SK Raina",0
"DW Steyn",0
"JH Kallis",0
"A Kumble",0
"R Ashwin",0
"SL Malinga",0
"JD Ryder",0
"A Singh",0
"DP Nannes",0
"P Kumar",0
"MM Patel",0
"YK Pathan",0
"JA Morkel",0
"IK Pathan",0
"R Ashwin",0
"DE Bollinger",0
"AC Thomas",0
"M Kartik",0
"S Sreesanth",0
"DW Steyn",0
"DW Steyn",0
"MM Patel",0
"S Sreesanth",0
"AC Thomas",0
"R Sharma",0
"Harbhajan Singh",0
"B Lee",0
"RV Gomez",0
"IK Pathan",0
"SL Malinga",0
"P Kumar",0
"SK Raina",0
"P Kumar",0
"P Kumar",0
"A Mishra",0
"P Kumar",0
"A Mishra",0
"Z Khan",0
"SL Malinga",0
"DE Bollinger",0
"SK Trivedi",0
"DW Steyn",0
"L Balaji",0
"Z Khan",0
"AB Agarkar",0
"P Kumar",0
"IK Pathan",0
"P Kumar",0
"MM Patel",0
"WD Parnell",0
"AB Dinda",0
"SP Narine",0
"SR Watson",0
"BW Hilfenhaus",0
"DW Steyn",0
"B Lee",0
"PP Chawla",0
"SP Narine",0
"UT Yadav",0
"UT Yadav",0
"DS Kulkarni",0
"Harbhajan Singh",0
"R Ashwin",0
"IK Pathan",0
"IK Pathan",0
"JH Kallis",0
"DW Steyn",0
"S Kaul",0
"S Sreesanth",0
"P Kumar",0
"B Kumar",0
"SK Trivedi",0
"JP Faulkner",0
"DJ Bravo",0
"P Kumar",0
"R Ashwin",0
"R Rampaul",0
"Sandeep Sharma",0
"KV Sharma",0
"SMSM Senanayake",0
"DW Steyn",0
"IK Pathan",0
"S Sreesanth",0
"R Rampaul",0
"B Kumar",0
"S Nadeem",0
"I Sharma",0
"NLTC Perera",0
"S Kaul",0
"L Balaji",0
"DW Steyn",0
"R Rampaul",0
"P Awana",0
"RE van der Merwe",0
"R Dhawan",0
"AC Gilchrist",0
"SP Narine",0
"A Mishra",0
"VR Aaron",0
"IC Pandey",0
"PP Ojha",0
"YS Chahal",0
"Sandeep Sharma",0
"Sandeep Sharma",0
"IC Pandey",0
"R Ashwin",0
"AR Patel",0
"PJ Cummins",0
"Shakib Al Hasan",0
"MG Johnson",0
"JJ Bumrah",0
"AR Patel",0
"M Morkel",0
"MG Johnson",0
"DS Kulkarni",0
"IC Pandey",0
"Sandeep Sharma",0
"SL Malinga",0
"Iqbal Abdulla",0
"Sandeep Sharma",0
"MA Starc",0
"DJ Bravo",0
"NM Coulter-Nile",0
"M de Lange",0
"SL Malinga",0
"S Nadeem",0
"Z Khan",0
"IC Pandey",0
"R Bhatia",0
"JW Hastings",0
"GB Hogg",0
"Z Khan",0
"Sandeep Sharma",0
"DS Kulkarni",0
"Mustafizur Rahman",0
"B Kumar",0
"DS Kulkarni",0
"B Kumar",0
"A Nehra",0
"DS Kulkarni",0
"BB Sran",0
"P Kumar",0
"KH Pandya",0
"AB Dinda",0
"R Vinay Kumar",0
"DS Kulkarni",0
